Date,Day,Week,Phase,Session Type,Session Detail,Duration,Distance,Vert (m),Intensity,Notes
"Jun 17, 2026",Wednesday,23,Specific Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",50 min,9.2 km,300,Hard (Z3-4),
"Jun 18, 2026",Thursday,23,Specific Build,Strength B,"Upper: Bench 3x6, Row 3x8, Pull-ups. Mobility: hip/ankle work 15 min",50 min,,,Moderate,
"Jun 19, 2026",Friday,23,Specific Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,33 min,5.5 km,,Easy + strides,
"Jun 20, 2026",Saturday,23,Specific Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,5.6 hrs,28 km,825,Moderate (Z2-3),
"Jun 21, 2026",Sunday,23,Specific Build,Back-to-Back RUN,RUN on tired legs. 16.8km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,3.1 hrs,16.8 km,420,Easy-Moderate (Z2-3),Back-to-back — embrace it
"Jun 22, 2026",Monday,24,Specific Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",68 min,10.5 km,,Easy (Z1-2),Start taper for Corsica
"Jun 23, 2026",Tuesday,24,Specific Build,Strength A,"Strength A: Eccentric focus — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg work",55 min,,,Moderate,
"Jun 24, 2026",Wednesday,24,Specific Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",77 min,14.0 km,200,Hard (Z3-4),
"Jun 25, 2026",Thursday,24,Specific Build,Strength B,"Upper: Bench 3x6, Row 3x8, Pull-ups. Mobility: hip/ankle work 15 min",50 min,,,Moderate,
"Jun 26, 2026",Friday,24,Specific Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,63 min,10.5 km,,Easy + strides,
"Jun 27, 2026",Saturday,24,Specific Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,4.0 hrs,20 km,550,Moderate (Z2-3),
"Jun 28, 2026",Sunday,24,Specific Build,Back-to-Back RUN,RUN on tired legs. 0km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,0.0 hrs,0 km,280,Easy-Moderate (Z2-3),Back-to-back — embrace it
"Jun 29, 2026",Monday,25,Corsica Taper,Easy Run + Strides,Easy with 4x20s strides at end.,54 min,9.1 km,,Easy + strides,Taper week 1
"Jun 30, 2026",Tuesday,25,Corsica Taper,Strength A,"Light maintenance: Squats 2x8, step-downs 2x8, mobility 15 min",30 min,,,Light,
"Jul 01, 2026",Wednesday,25,Corsica Taper,Easy Run + Strides,Easy with 5x20s strides.,54 min,9.1 km,,Easy + strides,
"Jul 02, 2026",Thursday,25,Corsica Taper,Strength B,Light upper + mobility only,30 min,,,Light,
"Jul 03, 2026",Friday,25,Corsica Taper,Rest,Complete rest.,-,,,-,
"Jul 04, 2026",Saturday,25,Corsica Taper,Moderate Long,Easy long run. Don't push.,91 min,14 km,,Easy (Z2),
"Jul 05, 2026",Sunday,25,Corsica Taper,Rest,Complete rest.,-,,,-,
"Jul 06, 2026",Monday,26,Corsica Taper,Rest,Complete rest. Travel day if needed.,-,-,,-,🏔️ RACE WEEK — Corsica TT July 11
"Jul 07, 2026",Tuesday,26,Corsica Taper,Shakeout + Strides,Short easy jog. 4x20s strides. Stay loose.,25 min,4 km,,Easy + strides,
"Jul 08, 2026",Wednesday,26,Corsica Taper,Rest or Walk,Complete rest or 20 min easy walk. Stay off legs.,0-20 min,,,-,
"Jul 09, 2026",Thursday,26,Corsica Taper,Rest,Complete rest. Race check-in. Kit prep.,-,,,-,
"Jul 10, 2026",Friday,26,Corsica Taper,Rest,Complete rest. Race briefing. Early night.,-,,,-,Race tomorrow 6:30am
"Jul 11, 2026",Saturday,26,Corsica Taper,🏔️ RACE: Corsica TT,33km / 2400m vert. 1400m climb in first 6km. Walk the steep climbs. Controlled descents. Nutrition 200-250 cal/hr. TEST EVERYTHING.,5-7 hrs,33 km,2400,Race,FIRST RACE — Learn from it
"Jul 12, 2026",Sunday,26,Corsica Taper,Active Recovery,Post-race. Very easy walk only if legs allow. Eat well. Begin recovery.,0-30 min,,,Very Easy,
"Jul 13, 2026",Monday,27,Recovery,Easy Run,Very easy. Just moving. No effort.,31 min,4.5 km,,Very Easy (Z1),Recovery week 1 — easy movement only
"Jul 14, 2026",Tuesday,27,Recovery,Strength A,"Light strength: Bodyweight squats 2x15, lunges 2x10, calf raises 2x15, mobility 15 min",35 min,,,Light,
"Jul 15, 2026",Wednesday,27,Recovery,Cross-Train,Easy bike or walk. No running. Active recovery.,40-50 min,,,Very Easy,
"Jul 16, 2026",Thursday,27,Recovery,Strength B,"Light upper: Bench 2x10, Row 2x10, mobility 20 min",35 min,,,Light,
"Jul 17, 2026",Friday,27,Recovery,Cross-Train or Rest,Easy bike/walk or complete rest. Listen to body.,0-45 min,,,Very Easy,
"Jul 18, 2026",Saturday,27,Recovery,Long Run (Easy),Rebuild long run. Easy throughout. No pushing.,56 min,8 km,,Easy (Z2),
"Jul 19, 2026",Sunday,27,Recovery,Rest,Complete rest.,-,-,,-,
"Jul 20, 2026",Monday,28,Recovery,Easy Run,Very easy. Just moving. No effort.,47 min,6.8 km,,Very Easy (Z1),Recovery week 2 — building back
"Jul 21, 2026",Tuesday,28,Recovery,Strength A,"Light strength: Bodyweight squats 2x15, lunges 2x10, calf raises 2x15, mobility 15 min",35 min,,,Light,
"Jul 22, 2026",Wednesday,28,Recovery,Cross-Train,Easy bike or walk. No running. Active recovery.,40-50 min,,,Very Easy,
"Jul 23, 2026",Thursday,28,Recovery,Strength B,"Light upper: Bench 2x10, Row 2x10, mobility 20 min",35 min,,,Light,
"Jul 24, 2026",Friday,28,Recovery,Cross-Train or Rest,Easy bike/walk or complete rest. Listen to body.,0-45 min,,,Very Easy,
"Jul 25, 2026",Saturday,28,Recovery,Long Run (Easy),Rebuild long run. Easy throughout. No pushing.,70 min,10 km,,Easy (Z2),
"Jul 26, 2026",Sunday,28,Recovery,Rest,Complete rest.,-,-,,-,
"Jul 27, 2026",Monday,29,Peak Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",27 min,4.2 km,,Easy (Z1-2),Peak build begins — big volume coming
"Jul 28, 2026",Tuesday,29,Peak Build,DOUBLE: AM Fasted + PM Strength,"AM: 4.2km fasted easy (before breakfast, Z1-2). PM: Strength A — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg RDL 3x8/leg",AM: 27 min + PM: 55 min,4.2 km,,AM: Easy | PM: Moderate,
"Jul 29, 2026",Wednesday,29,Peak Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",41 min,7.6 km,280,Hard (Z3-4),
"Jul 30, 2026",Thursday,29,Peak Build,DOUBLE: AM Fasted + PM Strength,"AM: 3.4km fasted very easy. PM: Strength B — upper + mobility: bench 2x8, row 2x8, 20 min hip/ankle work",AM: 23 min + PM: 40 min,3.4 km,,AM: Very Easy | PM: Light,
"Jul 31, 2026",Friday,29,Peak Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,25 min,4.2 km,,Easy + strides,
"Aug 01, 2026",Saturday,29,Peak Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,5.6 hrs,28 km,770,Moderate (Z2-3),
"Aug 02, 2026",Sunday,29,Peak Build,Back-to-Back RUN,RUN on tired legs. 18.5km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,3.4 hrs,18.5 km,392,Easy-Moderate (Z2-3),Back-to-back — embrace it
"Aug 03, 2026",Monday,30,Peak Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",34 min,5.3 km,,Easy (Z1-2),Building
"Aug 04, 2026",Tuesday,30,Peak Build,DOUBLE: AM Fasted + PM Strength,"AM: 5.3km fasted easy (before breakfast, Z1-2). PM: Strength A — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg RDL 3x8/leg",AM: 34 min + PM: 55 min,5.3 km,,AM: Easy | PM: Moderate,
"Aug 05, 2026",Wednesday,30,Peak Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",52 min,9.5 km,360,Hard (Z3-4),
"Aug 06, 2026",Thursday,30,Peak Build,DOUBLE: AM Fasted + PM Strength,"AM: 4.2km fasted very easy. PM: Strength B — upper + mobility: bench 2x8, row 2x8, 20 min hip/ankle work",AM: 29 min + PM: 40 min,4.2 km,,AM: Very Easy | PM: Light,
"Aug 07, 2026",Friday,30,Peak Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,31 min,5.3 km,,Easy + strides,
"Aug 08, 2026",Saturday,30,Peak Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,6.4 hrs,32 km,990,Moderate (Z2-3),
"Aug 09, 2026",Sunday,30,Peak Build,Back-to-Back RUN,RUN on tired legs. 23.3km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,4.2 hrs,23.3 km,504,Easy-Moderate (Z2-3),Back-to-back — embrace it
"Aug 10, 2026",Monday,31,Peak Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",40 min,6.2 km,,Easy (Z1-2),Getting serious
"Aug 11, 2026",Tuesday,31,Peak Build,DOUBLE: AM Fasted + PM Strength,"AM: 6.2km fasted easy (before breakfast, Z1-2). PM: Strength A — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg RDL 3x8/leg",AM: 40 min + PM: 55 min,6.2 km,,AM: Easy | PM: Moderate,
"Aug 12, 2026",Wednesday,31,Peak Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",61 min,11.2 km,440,Hard (Z3-4),
"Aug 13, 2026",Thursday,31,Peak Build,DOUBLE: AM Fasted + PM Strength,"AM: 5.0km fasted very easy. PM: Strength B — upper + mobility: bench 2x8, row 2x8, 20 min hip/ankle work",AM: 35 min + PM: 40 min,5.0 km,,AM: Very Easy | PM: Light,
"Aug 14, 2026",Friday,31,Peak Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,37 min,6.2 km,,Easy + strides,
"Aug 15, 2026",Saturday,31,Peak Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,8.4 hrs,38 km,1210,Moderate (Z2-3),
"Aug 16, 2026",Sunday,31,Peak Build,Back-to-Back RUN,RUN on tired legs. 27.3km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,5.0 hrs,27.3 km,616,Easy-Moderate (Z2-3),Back-to-back — embrace it
"Aug 17, 2026",Monday,32,Peak Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",70 min,10.8 km,,Easy (Z1-2),DOWN WEEK — absorb the load
"Aug 18, 2026",Tuesday,32,Peak Build,Strength A,"Strength A: Eccentric focus — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg work",55 min,,,Moderate,
"Aug 19, 2026",Wednesday,32,Peak Build,Easy Run,Easy forest run. No intensity.,0 min,0 km,,Easy (Z2),
"Aug 20, 2026",Thursday,32,Peak Build,Strength B,"Upper: Bench 3x6, Row 3x8, Pull-ups. Mobility: hip/ankle work 15 min",50 min,,,Moderate,
"Aug 21, 2026",Friday,32,Peak Build,Rest or Cross-Train,Complete rest or very easy bike.,0-30 min,,,Very Easy,
"Aug 22, 2026",Saturday,32,Peak Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,4.4 hrs,22 km,660,Moderate (Z2-3),
"Aug 23, 2026",Sunday,32,Peak Build,Rest,Complete rest.,-,-,,-,
"Aug 24, 2026",Monday,33,Peak Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",45 min,7.0 km,,Easy (Z1-2),BIGGEST WEEK — 80km weekend simulation
"Aug 25, 2026",Tuesday,33,Peak Build,DOUBLE: AM Fasted + PM Strength,"AM: 7.0km fasted easy (before breakfast, Z1-2). PM: Strength A — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg RDL 3x8/leg",AM: 45 min + PM: 55 min,7.0 km,,AM: Easy | PM: Moderate,
"Aug 26, 2026",Wednesday,33,Peak Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",69 min,12.6 km,560,Hard (Z3-4),
"Aug 27, 2026",Thursday,33,Peak Build,DOUBLE: AM Fasted + PM Strength,"AM: 5.6km fasted very easy. PM: Strength B — upper + mobility: bench 2x8, row 2x8, 20 min hip/ankle work",AM: 39 min + PM: 40 min,5.6 km,,AM: Very Easy | PM: Light,
"Aug 28, 2026",Friday,33,Peak Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,42 min,7.0 km,,Easy + strides,
"Aug 29, 2026",Saturday,33,Peak Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,10.0 hrs,45 km,1540,Moderate (Z2-3),BIGGEST RUN: 45km — race simulation
"Aug 30, 2026",Sunday,33,Peak Build,Back-to-Back RUN,RUN on tired legs. 30.8km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,5.6 hrs,30.8 km,784,Easy-Moderate (Z2-3),BIGGEST WEEKEND: 75km+ total
"Aug 31, 2026",Monday,34,Peak Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",35 min,5.5 km,,Easy (Z1-2),Final big week
"Sep 01, 2026",Tuesday,34,Peak Build,DOUBLE: AM Fasted + PM Strength,"AM: 5.5km fasted easy (before breakfast, Z1-2). PM: Strength A — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg RDL 3x8/leg",AM: 35 min + PM: 55 min,5.5 km,,AM: Easy | PM: Moderate,
"Sep 02, 2026",Wednesday,34,Peak Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",54 min,9.9 km,400,Hard (Z3-4),
"Sep 03, 2026",Thursday,34,Peak Build,DOUBLE: AM Fasted + PM Strength,"AM: 4.4km fasted very easy. PM: Strength B — upper + mobility: bench 2x8, row 2x8, 20 min hip/ankle work",AM: 30 min + PM: 40 min,4.4 km,,AM: Very Easy | PM: Light,
"Sep 04, 2026",Friday,34,Peak Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,33 min,5.5 km,,Easy + strides,
"Sep 05, 2026",Saturday,34,Peak Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,7.8 hrs,35 km,1100,Moderate (Z2-3),
"Sep 06, 2026",Sunday,34,Peak Build,Back-to-Back RUN,RUN on tired legs. 24.2km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,4.4 hrs,24.2 km,560,Easy-Moderate (Z2-3),Back-to-back — embrace it
"Sep 07, 2026",Monday,35,Final Taper,Easy Run + Strides,Easy with 4x20s strides at end.,77 min,12.9 km,,Easy + strides,Taper week 1
"Sep 08, 2026",Tuesday,35,Final Taper,Strength A,"Light maintenance: Squats 2x8, step-downs 2x8, mobility 15 min",30 min,,,Light,
"Sep 09, 2026",Wednesday,35,Final Taper,Easy Run + Strides,Easy with 5x20s strides.,77 min,12.9 km,,Easy + strides,
"Sep 10, 2026",Thursday,35,Final Taper,Strength B,Light upper + mobility only,30 min,,,Light,
"Sep 11, 2026",Friday,35,Final Taper,Rest,Complete rest.,-,,,-,
"Sep 12, 2026",Saturday,35,Final Taper,Moderate Long,Easy long run. Don't push.,117 min,18 km,,Easy (Z2),
"Sep 13, 2026",Sunday,35,Final Taper,Rest,Complete rest.,-,,,-,
"Sep 14, 2026",Monday,36,Final Taper,Rest,Complete rest. Hydrate. Prepare kit.,-,-,,-,🏆 RACE WEEK — Lake Bled 80km Sep 19
"Sep 15, 2026",Tuesday,36,Final Taper,Shakeout + Strides,Short easy jog. 5x20s strides. Legs should feel good.,30 min,5 km,,Easy + strides,
"Sep 16, 2026",Wednesday,36,Final Taper,Rest,Complete rest. Mental prep. Visualize the race.,-,,,-,
"Sep 17, 2026",Thursday,36,Final Taper,Shakeout,Very short easy jog. 4x15s strides. Just stay loose.,20 min,3 km,,Easy + strides,
"Sep 18, 2026",Friday,36,Final Taper,Rest,Complete rest. Final prep. Sleep well.,-,,,-,Race tomorrow
"Sep 19, 2026",Saturday,36,Final Taper,🏆 RACE: Lake Bled 80km,"80km alpine. Execute the plan. Walk every steep climb. Eat early and often (250-300 cal/hr). When it hurts, remember what you did to get here.",12-16 hrs,80 km,3000+,Race,A-RACE. YOU'RE READY.
"Sep 20, 2026",Sunday,36,Final Taper,Rest,POST-RACE. You did it. Rest. Celebrate. Eat everything.,-,,,-,FINISHER 🏆
,,,,,,,,,,
,,,,,,,,,,
LEGEND,,,,,,,,,,
,🏆 Race Day,,,,,,,,,
,🎂 Birthday Run,,,,,,,,,
,Double Day (AM + PM),,,,,,,,,
,Back-to-Back (Sunday run),,,,,,,,,
,Long Run,,,,,,,,,
,Strength,,,,,,,,,
,Cross-Train,,,,,,,,,
,Down Week,,,,,,,,,
,Rest,,,,,,,,,
